country,date,total
Afghanistan,24/02/2020,1
Afghanistan,24/02/2021,55664
Afghanistan,25/02/2020,1
Afghanistan,25/02/2021,55680
Afghanistan,26/02/2020,1
Afghanistan,26/02/2021,55696
Afghanistan,27/02/2020,1
Afghanistan,27/02/2021,55707
Afghanistan,28/02/2020,1
Afghanistan,28/02/2021,55714
Afghanistan,29/02/2020,1
Afghanistan,03/02/2020,0
Afghanistan,03/02/2021,55174
Afghanistan,04/02/2020,0
Afghanistan,04/02/2021,55231
Afghanistan,05/02/2020,0
Afghanistan,05/02/2021,55265
Afghanistan,06/02/2020,0
Afghanistan,06/02/2021,55330
Afghanistan,07/02/2020,0
Afghanistan,07/02/2021,55335
Afghanistan,08/02/2020,0
Afghanistan,08/02/2021,55359
Afghanistan,09/02/2020,0
Afghanistan,09/02/2021,55384
Afghanistan,01/03/2020,1
Afghanistan,01/03/2021,55733
Afghanistan,10/03/2020,8
Afghanistan,10/03/2021,55894
Afghanistan,11/03/2020,11
Afghanistan,11/03/2021,55917
Afghanistan,12/03/2020,12
Afghanistan,13/03/2020,13
Afghanistan,14/03/2020,15
Afghanistan,15/03/2020,16
Afghanistan,16/03/2020,18
Afghanistan,17/03/2020,20
Afghanistan,18/03/2020,24
Afghanistan,19/03/2020,25
Afghanistan,02/03/2020,1
Afghanistan,02/03/2021,55759
Afghanistan,20/03/2020,29
Afghanistan,21/03/2020,30
Afghanistan,22/03/2020,34
Afghanistan,23/03/2020,41
Afghanistan,24/03/2020,43
Afghanistan,25/03/2020,76
Afghanistan,26/03/2020,80
Afghanistan,27/03/2020,91
Afghanistan,28/03/2020,107
Afghanistan,29/03/2020,118
Afghanistan,03/03/2020,2
Afghanistan,03/03/2021,55770
Afghanistan,30/03/2020,146
Afghanistan,31/03/2020,175
Afghanistan,04/03/2020,4
Afghanistan,04/03/2021,55775
Afghanistan,05/03/2020,4
Afghanistan,05/03/2021,55827
Afghanistan,06/03/2020,4
Afghanistan,06/03/2021,55840
Afghanistan,07/03/2020,4
Afghanistan,07/03/2021,55847
Afghanistan,08/03/2020,5
Afghanistan,08/03/2021,55876
Afghanistan,09/03/2020,7
Afghanistan,09/03/2021,55876
Afghanistan,01/04/2020,197
Afghanistan,10/04/2020,532
Afghanistan,11/04/2020,556
Afghanistan,12/04/2020,608
Afghanistan,13/04/2020,666
Afghanistan,14/04/2020,715
Afghanistan,15/04/2020,785
Afghanistan,16/04/2020,841
Afghanistan,17/04/2020,907
Afghanistan,18/04/2020,934
Afghanistan,19/04/2020,997
Afghanistan,02/04/2020,240
Afghanistan,20/04/2020,1027
Afghanistan,21/04/2020,1093
Afghanistan,22/04/2020,1177
Afghanistan,23/04/2020,1236
Afghanistan,24/04/2020,1331
Afghanistan,25/04/2020,1464
Afghanistan,26/04/2020,1532
Afghanistan,27/04/2020,1704
Afghanistan,28/04/2020,1830
Afghanistan,29/04/2020,1940
Afghanistan,03/04/2020,275
Afghanistan,30/04/2020,2127
Afghanistan,04/04/2020,300
Afghanistan,05/04/2020,338
Afghanistan,06/04/2020,368
Afghanistan,07/04/2020,424
Afghanistan,08/04/2020,445
Afghanistan,09/04/2020,485
Afghanistan,01/05/2020,2291
Afghanistan,10/05/2020,4403
Afghanistan,11/05/2020,4687
Afghanistan,12/05/2020,4968
Afghanistan,13/05/2020,5227
Afghanistan,14/05/2020,5640
Afghanistan,15/05/2020,6054
Afghanistan,16/05/2020,6403
Afghanistan,17/05/2020,6665
Afghanistan,18/05/2020,7073
Afghanistan,19/05/2020,7654
Afghanistan,02/05/2020,2470
Afghanistan,20/05/2020,8146
Afghanistan,21/05/2020,8677
Afghanistan,22/05/2020,9219
Afghanistan,23/05/2020,10001
Afghanistan,24/05/2020,10585
Afghanistan,25/05/2020,11176
Afghanistan,26/05/2020,11834
Afghanistan,27/05/2020,12459
Afghanistan,28/05/2020,13039
Afghanistan,29/05/2020,13662
Afghanistan,03/05/2020,2705
Afghanistan,30/05/2020,14528
Afghanistan,31/05/2020,15208
Afghanistan,04/05/2020,2895
Afghanistan,05/05/2020,3225
Afghanistan,06/05/2020,3393
Afghanistan,07/05/2020,3564
Afghanistan,08/05/2020,3781
Afghanistan,09/05/2020,4042
Afghanistan,01/06/2020,15753
Afghanistan,10/06/2020,22146
Afghanistan,11/06/2020,22894
Afghanistan,12/06/2020,23550
Afghanistan,13/06/2020,24106
Afghanistan,14/06/2020,24770
Afghanistan,15/06/2020,25531
Afghanistan,16/06/2020,26314
Afghanistan,17/06/2020,26878
Afghanistan,18/06/2020,27536
Afghanistan,19/06/2020,27882
Afghanistan,02/06/2020,16512
Afghanistan,20/06/2020,28428
Afghanistan,21/06/2020,28837
Afghanistan,22/06/2020,29147
Afghanistan,23/06/2020,29471
Afghanistan,24/06/2020,29705
Afghanistan,25/06/2020,30165
Afghanistan,26/06/2020,30441
Afghanistan,27/06/2020,30606
Afghanistan,28/06/2020,30957
Afghanistan,29/06/2020,31228
Afghanistan,03/06/2020,17270
Afghanistan,30/06/2020,31507
Afghanistan,04/06/2020,18057
Afghanistan,05/06/2020,18972
Afghanistan,06/06/2020,19554
Afghanistan,07/06/2020,20345
Afghanistan,08/06/2020,20920
Afghanistan,09/06/2020,21462
Afghanistan,01/07/2020,31826
Afghanistan,10/07/2020,34184
Afghanistan,11/07/2020,34356
Afghanistan,12/07/2020,34441
Afghanistan,13/07/2020,34595
Afghanistan,14/07/2020,34730
Afghanistan,15/07/2020,34984
Afghanistan,16/07/2020,35060
Afghanistan,17/07/2020,35219
Afghanistan,18/07/2020,35279
Afghanistan,19/07/2020,35453
Afghanistan,02/07/2020,32012
Afghanistan,20/07/2020,35493
Afghanistan,21/07/2020,35605
Afghanistan,22/07/2020,35717
Afghanistan,23/07/2020,35918
Afghanistan,24/07/2020,35978
Afghanistan,25/07/2020,36026
Afghanistan,26/07/2020,36147
Afghanistan,27/07/2020,36253
Afghanistan,28/07/2020,36358
Afghanistan,29/07/2020,36463
Afghanistan,03/07/2020,32314
Afghanistan,30/07/2020,36532
Afghanistan,31/07/2020,36665
Afghanistan,04/07/2020,32662
Afghanistan,05/07/2020,32941
Afghanistan,06/07/2020,33180
Afghanistan,07/07/2020,33374
Afghanistan,08/07/2020,33584
Afghanistan,09/07/2020,33898
Afghanistan,01/08/2020,36700
Afghanistan,10/08/2020,37153
Afghanistan,11/08/2020,37260
Afghanistan,12/08/2020,37336
Afghanistan,13/08/2020,37422
Afghanistan,14/08/2020,37497
Afghanistan,15/08/2020,37542
Afghanistan,16/08/2020,37590
Afghanistan,17/08/2020,37667
Afghanistan,18/08/2020,37710
Afghanistan,19/08/2020,37750
Afghanistan,02/08/2020,36701
Afghanistan,20/08/2020,37852
Afghanistan,21/08/2020,37885
Afghanistan,22/08/2020,37944
Afghanistan,23/08/2020,37990
Afghanistan,24/08/2020,38045
Afghanistan,25/08/2020,38061
Afghanistan,26/08/2020,38103
Afghanistan,27/08/2020,38119
Afghanistan,28/08/2020,38130
Afghanistan,29/08/2020,38133
Afghanistan,03/08/2020,36737
Afghanistan,30/08/2020,38155
Afghanistan,31/08/2020,38159
Afghanistan,04/08/2020,36773
Afghanistan,05/08/2020,36820
Afghanistan,06/08/2020,36928
Afghanistan,07/08/2020,37006
Afghanistan,08/08/2020,37046
Afghanistan,09/08/2020,37083
Afghanistan,01/09/2020,38193
Afghanistan,10/09/2020,38572
Afghanistan,11/09/2020,38606
Afghanistan,12/09/2020,38641
Afghanistan,13/09/2020,38716
Afghanistan,14/09/2020,38772
Afghanistan,15/09/2020,38815
Afghanistan,16/09/2020,38855
Afghanistan,17/09/2020,38872
Afghanistan,18/09/2020,38897
Afghanistan,19/09/2020,38919
Afghanistan,02/09/2020,38243
Afghanistan,20/09/2020,39044
Afghanistan,21/09/2020,39074
Afghanistan,22/09/2020,39096
Afghanistan,23/09/2020,39145
Afghanistan,24/09/2020,39170
Afghanistan,25/09/2020,39186
Afghanistan,26/09/2020,39192
Afghanistan,27/09/2020,39227
Afghanistan,28/09/2020,39239
Afghanistan,29/09/2020,39254
Afghanistan,03/09/2020,38288
Afghanistan,30/09/2020,39268
Afghanistan,04/09/2020,38304
Afghanistan,05/09/2020,38324
Afghanistan,06/09/2020,38398
Afghanistan,07/09/2020,38494
Afghanistan,08/09/2020,38520
Afghanistan,09/09/2020,38544
Albania,01/01/2021,58316
Albania,10/01/2021,63595
Albania,11/01/2021,63971
Albania,12/01/2021,64627
Albania,13/01/2021,65334
Albania,14/01/2021,65994
Albania,15/01/2021,66635
Albania,16/01/2021,67216
Albania,17/01/2021,67690
Albania,18/01/2021,67982
Albania,19/01/2021,68568
Albania,02/01/2021,58991
